"""country_name"",""country_text_id"",""country_id"",""year"",""v2x_polyarchy"",""v2x_regime"",""e_boix_regime"",""e_polity2"",""e_regionpol"",""e_regionpol_6C"",""dir_crim"",""ind_crim"",""gmc"",""gmcpr"",""gmcphys"",""gmcpsych"",""gmcdiv"",""nb3g"",""adp_general"",""adp_constitution"",""adp_employment"",""adp_education"",""adp_healthcare"",""adp_housing"",""trip_score"",""trip_percent"",""wb_gdppc"",""lgdppc_wb"",""religiosity_percent"",""no_dircrim"",""no_indcrim"",""nophys"",""nopsych"",""nodiv"""
"Mexico,""MEX"",3,2019,0.671,2,1,NA,2,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,2,0.15384615957737,10145.1701829207,9.22475337982178,0.944000005722046,1,1,0,0,0"
"Suriname,""SUR"",4,2019,0.756,2,1,NA,10,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,2,0.15384615957737,6690.04478601228,8.80837631225586,0.938799977302551,1,1,0,0,0"
"Sweden,""SWE"",5,2019,0.905,3,1,NA,5,5,0,0,1,1,0,1,0,0,1,0,1,1,1,1,10,0.769230782985687,51939.4297445291,10.8578338623047,0.711999952793121,1,1,1,0,1"
"Switzerland,""CHE"",6,2019,0.909,3,1,NA,5,5,0,0,1,2,2,2,2,0,0,0,0,0,0,0,3,0.230769231915474,84121.9310304414,11.3400230407715,0.773899972438812,1,1,0,0,0"
"Ghana,""GHA"",7,2019,0.719,3,1,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,2167.91158941087,7.68151950836182,0.961600065231323,1,0,0,0,0"
"South Africa,""ZAF"",8,2019,0.708,2,1,NA,4,4,0,1,1,1,1,1,0,0,0,0,0,0,0,0,3,0.230769231915474,6688.78727128797,8.80818748474121,0.847399950027466,1,0,0,0,1"
"Japan,""JPN"",9,2019,0.839,3,1,NA,6,6,0,0,1,1,1,1,1,0,0,0,0,0,0,0,3,0.230769231915474,40458.0018755824,10.6080198287964,0.402999997138977,1,1,0,0,0"
"Burma/Myanmar,""MMR"",10,2019,0.434,1,0,NA,7,6,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,1295.2014475589,7.16642141342163,1,1,0,0,0,0"
"Russia,""RUS"",11,2019,0.267,1,0,NA,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,3,0.230769231915474,11536.2509765625,9.35324954986572,0.846999943256378,1,0,1,0,0"
"Albania,""ALB"",12,2019,0.486,1,1,NA,1,1,0,1,0,2,2,2,2,0,0,0,1,1,1,1,5,0.384615391492844,5396.21586434732,8.5934534072876,0.998600006103516,1,0,0,0,0"
"Egypt,""EGY"",13,2019,0.173,1,0,NA,3,3,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,2869.57658843903,7.9619197845459,1,1,0,0,0,0"
"Yemen,""YEM"",14,2019,0.119,0,0,NA,3,3,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,NA,NA,1,1,0,0,0,0"
"Colombia,""COL"",15,2019,0.649,2,1,NA,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0.384615391492844,6438.06018290435,8.76998233795166,0.933099985122681,1,0,1,1,1"
"Poland,""POL"",17,2019,0.688,2,1,NA,1,1,0,0,0,2,2,2,2,0,0,0,0,0,0,0,2,0.15384615957737,15699.9113500703,9.66141033172607,0.928700029850006,1,1,0,0,0"
"Brazil,""BRA"",19,2019,0.689,2,1,NA,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0.461538463830948,8845.25911841876,9.08763694763184,0.91650003194809,1,1,1,1,1"
"United States of America,""USA"",20,2019,0.8,3,1,7,5,5,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,65120.3946628653,11.0839929580688,0.816200017929077,1,0,0,0,0"
"Portugal,""PRT"",21,2019,0.89,3,1,NA,5,5,0,0,1,0,0,0,0,0,1,0,1,1,1,0,10,0.769230782985687,23330.817288932,10.0575304031372,0.915100038051605,1,1,1,1,1"
"El Salvador,""SLV"",22,2019,0.626,2,1,NA,2,2,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,4280.28840404719,8.36177539825439,0.888199985027313,1,0,0,0,0"
