country_name;GDP per capita (current US$);Unemployment. total (% of total labor force) (modeled ILO estimate)
Belgium;46641.72;5.36
Denmark;59592.98;5.02
Germany;46805.14;3.14
Greece;19143.89;17.04
Spain;29581.52;14.1
France;40494.9;8.41
Ireland;80848.3;4.95
Italy;33673.75;9.95
Luxembourg;112726.44;5.59
Netherlands;52476.27;3.38
Portugal;23330.82;6.46
United Kingdom;42662.54;3.74
Austria;50067.59;4.56
Sweden;51939.43;6.83
Finland;48629.86;6.69
Cyprus;29420;7.15
Czech Republic;23664.85;2.02
Estonia;23424.48;4.45
Hungary;16786.21;3.42
Latvia;17883.35;6.31
Lithuania;19615.55;6.26
Malta;31727.01;3.62
Poland;15700.01;3.28
Slovakia;19381.89;5.76
Slovenia;26042.45;4.45
Bulgaria;9874.34;4.23
Romania;12958;3.91
Croatia;15120.9;6.62
