country_name;country_text_id;country_id;year;v2x_polyarchy;v2x_regime;e_boix_regime;e_polity2;e_regionpol;e_regionpol_6C;dir_crim;ind_crim;gmc;gmcpr;gmcphys;gmcpsych;gmcdiv;nb3g;adp_general;adp_constitution;adp_employment;adp_education;adp_healthcare;adp_housing;trip_score;trip_percent;wb_gdppc;lgdppc_wb;religiosity_percent;no_dircrim;no_indcrim;nophys;nopsych;nodiv
Mexico;MEX;3;2019;0.671;2;1;NA;2;2;0;0;0;2;2;2;2;0;0;0;0;0;0;0;2;0.15384615957737;101.451.701.829.207;922.475.337.982.178;0.944000005722046;1;1;0;0;0
Suriname;SUR;4;2019;0.756;2;1;NA;10;2;0;0;0;2;2;2;2;0;0;0;0;0;0;0;2;0.15384615957737;669.004.478.601.228;880.837.631.225.586;0.938799977302551;1;1;0;0;0
Sweden;SWE;5;2019;0.905;3;1;NA;5;5;0;0;1;1;0;1;0;0;1;0;1;1;1;1;10;0.769230782985687;519.394.297.445.291;108.578.338.623.047;0.711999952793121;1;1;1;0;1
Switzerland;CHE;6;2019;0.909;3;1;NA;5;5;0;0;1;2;2;2;2;0;0;0;0;0;0;0;3;0.230769231915474;841.219.310.304.414;113.400.230.407.715;0.773899972438812;1;1;0;0;0
Ghana;GHA;7;2019;0.719;3;1;NA;4;4;0;1;0;2;2;2;2;0;0;0;0;0;0;0;1;0.0769230797886848;216.791.158.941.087;768.151.950.836.182;0.961600065231323;1;0;0;0;0
South Africa;ZAF;8;2019;0.708;2;1;NA;4;4;0;1;1;1;1;1;0;0;0;0;0;0;0;0;3;0.230769231915474;668.878.727.128.797;880.818.748.474.121;0.847399950027466;1;0;0;0;1
Japan;JPN;9;2019;0.839;3;1;NA;6;6;0;0;1;1;1;1;1;0;0;0;0;0;0;0;3;0.230769231915474;404.580.018.755.824;106.080.198.287.964;0.402999997138977;1;1;0;0;0
Burma/Myanmar;MMR;10;2019;0.434;1;0;NA;7;6;0;1;0;2;2;2;2;0;0;0;0;0;0;0;1;0.0769230797886848;12.952.014.475.589;716.642.141.342.163;1;1;0;0;0;0
Russia;RUS;11;2019;0.267;1;0;NA;1;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;3;0.230769231915474;115.362.509.765.625;935.324.954.986.572;0.846999943256378;1;0;1;0;0
Albania;ALB;12;2019;0.486;1;1;NA;1;1;0;1;0;2;2;2;2;0;0;0;1;1;1;1;5;0.384615391492844;539.621.586.434.732;85.934.534.072.876;0.998600006103516;1;0;0;0;0
Egypt;EGY;13;2019;0.173;1;0;NA;3;3;0;1;0;2;2;2;2;0;0;0;0;0;0;0;1;0.0769230797886848;286.957.658.843.903;79.619.197.845.459;1;1;0;0;0;0
Yemen;YEM;14;2019;0.119;0;0;NA;3;3;0;1;0;2;2;2;2;0;0;0;0;0;0;0;1;0.0769230797886848;NA;NA;1;1;0;0;0;0
Colombia;COL;15;2019;0.649;2;1;NA;2;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;5;0.384615391492844;643.806.018.290.435;876.998.233.795.166;0.933099985122681;1;0;1;1;1
Poland;POL;17;2019;0.688;2;1;NA;1;1;0;0;0;2;2;2;2;0;0;0;0;0;0;0;2;0.15384615957737;156.999.113.500.703;966.141.033.172.607;0.928700029850006;1;1;0;0;0
Brazil;BRA;19;2019;0.689;2;1;NA;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;0.461538463830948;884.525.911.841.876;908.763.694.763.184;0.91650003194809;1;1;1;1;1
United States of America;USA;20;2019;0.8;3;1;7;5;5;0;1;0;2;2;2;2;0;0;0;0;0;0;0;1;0.0769230797886848;651.203.946.628.653;110.839.929.580.688;0.816200017929077;1;0;0;0;0
Portugal;PRT;21;2019;0.89;3;1;NA;5;5;0;0;1;0;0;0;0;0;1;0;1;1;1;0;10;0.769230782985687;23.330.817.288.932;100.575.304.031.372;0.915100038051605;1;1;1;1;1
El Salvador;SLV;22;2019;0.626;2;1;NA;2;2;0;1;0;2;2;2;2;0;0;0;0;0;0;0;1;0.0769230797886848;428.028.840.404.719;836.177.539.825.439;0.888199985027313;1;0;0;0;0
Bangladesh;BGD;24;2019;0.25;1;0;NA;8;6;0;1;1;2;2;2;2;1;0;0;0;0;0;0;3;0.230769231915474;212.207.885.124.799;766.015.148.162.842;1;1;0;0;0;0
